"mostwanted, https://woolsocks.eu/promo/27d55980-8223-4e70-95d5-8b6b84528e1a, €5, woolsocks, date",
"iciparisxl, https://woolsocks.eu/promo/cd74ab9e-5d13-4346-b767-6c164866ec7d, €5, woolsocks, date",
"tessv, https://woolsocks.eu/promo/a889846b-266b-4d1b-a4f5-9ca93e2782d5, €5, woolsocks, date",
"stradivarius, https://woolsocks.eu/promo/8a097f83-b3bb-4329-a264-55daf1f30e2f, €5, woolsocks, date",
"loavies, https://woolsocks.eu/promo/efd9151d-438b-45eb-9742-bb1b73ded0c7, €5, woolsocks, date",
"myjewellery, https://woolsocks.eu/promo/209f0a9f-5e46-474f-8615-26c57a53bc8b, €5, woolsocks, date",
"zalando, https://woolsocks.eu/promo/e7e00fe8-9fad-41c8-a80b-8387b518e925, €5, woolsocks, date",
"douglas, https://woolsocks.eu/promo/929570a6-fbfb-48f0-a296-a7917f4a9fc1, €5, woolsocks, date",
"bol.com, https://woolsocks.eu/promo/f667e646-4ced-4bab-91ac-0a1ee0b51244, €5, woolsocks, date",
"zara, https://woolsocks.eu/promo/4c3fe3d3-4d6a-4784-b1f8-608b3e90b2d6, €5, woolsocks, date",
"hunkemoller, https://woolsocks.eu/promo/389c6eae-7049-401f-a853-55457414b0b9, €5, woolsocks, date",
"bershka, https://woolsocks.eu/promo/90cd4f38-6ddd-41b0-bc8a-d4813f4b5b77, €5, woolsocks, date",
"h&m, https://woolsocks.eu/promo/c581b7ea-7951-422f-9e81-186a546d4dbb, €5, woolsocks, date",
"asos, https://woolsocks.eu/promo/8e01ceae-17f2-47c3-8e75-5f19dd10aa69, €5, woolsocks, date",
"pinkgellac, https://woolsocks.eu/promo/45746a5e-a802-44a9-a49d-31e782b81093, €5, woolsocks, date",
"stronger, https://woolsocks.eu/promo/076a9686-7bb1-4454-93e7-12e35515e20c, €5, woolsocks, date",
"bijenkorf, https://woolsocks.eu/promo/42b0af76-a07c-44c9-a365-4c96af8842fa, €5, woolsocks, date",
"wehkamp, https://woolsocks.eu/promo/14da227a-c9d6-4979-aff2-82f90738cd78, €5, woolsocks, date",
"shein, https://woolsocks.eu/promo/a4179d88-b50f-40d1-bcc4-971ec28addca, €5, woolsocks, date",
"nike, https://woolsocks.eu/promo/10305802-dfe5-4b84-a794-2e98a388514b, €5, woolsocks, date",
"nakdfashion, https://woolsocks.eu/promo/274d7d05-efff-40f9-bc4b-cf2682375524, €5, woolsocks, date",
"aliexpress, https://woolsocks.eu/promo/186b28e6-a179-40a9-bfa8-e495d778eb42, €5, woolsocks, date",
"leolive, https://woolsocks.eu/promo/6381b32f-6791-42c9-ba36-2cdedb9048ff, €5, woolsocks, date",
"maniko-nails.nl, https://woolsocks.eu/promo/177d11c1-4dd4-4df2-af8f-cc7d664498ef, €5, woolsocks, date",
"custtom.nl, https://woolsocks.eu/promo/09345c33-c734-41f3-8636-7cbd056e6f87, €5, woolsocks, date",
"sellpy, https://woolsocks.eu/promo/dc5d3fc1-ac32-480a-bac6-100b76a241b5, €5, woolsocks, date",
"rosental-organics.nl, https://woolsocks.eu/promo/8cfb9940-8c5c-4020-bf89-1f57cf713228, €5, woolsocks, date",
"achateshop.com, https://woolsocks.eu/promo/35b2e9e7-940d-4505-8fb1-309ec2fd97af, €5, woolsocks, date",
"dutchies.com, https://woolsocks.eu/promo/8c55eb51-b0ed-41fc-b9bb-54a475267d79, €5, woolsocks, date",
"airup, https://woolsocks.eu/promo/a5e13fa5-0ec7-421b-98c7-35fbf2fc013b, €5, woolsocks, date",
"about you, https://woolsocks.eu/promo/fab74469-b33c-423d-931d-66f80c4b4ef8, €5, woolsocks, date",
"efteling, https://woolsocks.eu/promo/b3fbfbc0-605f-4b68-82c9-dca68b718ccd, €5, woolsocks, date",
"uber eats, https://woolsocks.eu/promo/1232538e-98a2-4eef-986d-acfb2716c605, €5, woolsocks, date",
"dominos, https://woolsocks.eu/promo/8c091eab-1d70-4d28-87fa-1e0401d98d2e, €5, woolsocks, date",
"decathlon, https://woolsocks.eu/promo/9c5d6702-ecf1-477a-abe7-a1f3fc37bb41, €5, woolsocks, date",
"maniacnails, https://woolsocks.eu/promo/996c5c95-0353-4814-a3a2-c7c917c4cd43, €5, woolsocks, date",
"snuggs, https://woolsocks.eu/promo/fcd76559-6d7e-496c-8d15-6074ab416fe5, €5, woolsocks, date",
"fashiontiger.nl, https://woolsocks.eu/promo/76099079-f551-4ee6-b6ae-d9007af77243, €5, woolsocks, date",
"ginatricot, https://woolsocks.eu/promo/82b93407-efba-4c01-a22d-cbbbcb091dd3, €5, woolsocks, date",
"gutsgusto, https://woolsocks.eu/promo/0081f9a2-cb47-4ed0-8caf-9a5491496f14, €5, woolsocks, date",
"esn, https://woolsocks.eu/promo/430c5f59-b26d-427b-8a02-fd216b1f7206, €5, woolsocks, date",
"arket, https://woolsocks.eu/promo/75398596-c978-4b82-8ea4-cd745b454c15, €5, woolsocks, date",
